Comment,Designator,Footprint,LCSC
SW_DIP_x02,SW4,SW_DIP_SPSTx02_Slide_Dungguan-Guangzhu-Industrial_DIS02LSGET_W6.0mm_P2.54mm, C54949 
SW_Push,"SW1,SW2",SW_SMD_PUSH_6mm_h7mm, C780516 
LED-6_3535,"D10,D11,D8,D9",RS-3535MWAR,C110402
MMBF170,"Q1,Q2",SOT-23,C130879
3.9K,R13,R_1206_3216Metric,C17883
100R,"R10,R9",R_1206_3216Metric,C17901
10K,"R14,R15,R17,R18",R_1206_3216Metric,C17902
18R,R16,R_1206_3216Metric,C17922
2.7K,R11,R_1206_3216Metric,C17950
8.2K,"R1,R2,R3,R4,R5,R6,R7,R8",R_1206_3216Metric,C18027
1.8K,R12,R_1206_3216Metric,C22108
LED_3528,"D0,D1,D2,D3,D4,D5,D6,D7",LED_3528_Hubei_Kento_Elec,C2308
SW_Push,SW3,SW_SMD_PUSH_6mm_h4.3mm,C780510 
